text,Favorites,Retweets,Tweet ID
Very sad that a person who has made so many mistakes Crooked Hillary Clinton can put out such false and vicious ads with her phony money,23517,7192,7.54E+17
Crooked Hillary who embarrassed herself and the country with her email lies has been a DISASTER on foreign policy Look whats happening,25895,8278,7.54E+17
Crooked Hillary is spending big Wall Street money on ads saying I dont have foreign policy experience yet look what her policies have done,26723,9107,7.54E+17
Look forward to introducing Governor Mike Pence who has done a spectacular job in the great State of Indiana My first choice from start,22040,4974,7.54E+17
Look forward to Governor Mike Pence VP introduction tomorrow in New York City,25442,5806,7.54E+17
I am pleased to announce that I have chosen Governor Mike Pence as my Vice Presidential running mate News conference tomorrow at 1100 AM,91270,39634,7.54E+17
Four more years of weakness with a Crooked Hillary Administration is not acceptable Look what has happened to the world with O  Hillary,32178,11134,7.54E+17
 NeverTrump is never more They were crushed last night in Cleveland at Rules Committee by a vote of 8712 MAKE AMERICA GREAT AGAIN,36207,11105,7.54E+17
My prayers and condolences to the victims and families of the terrible tragedy in Nice France We are with you in every way,51696,16342,7.54E+17
In light of the horrible attack in Nice France I have postponed tomorrows news conference concerning my Vice Presidential announcement,47537,15370,7.54E+17
Another horrific attack this time in Nice France Many dead and injured When will we learn It is only getting worse,56738,25560,7.54E+17
I employ many people in the State of Virginia  JOBS JOBS JOBS Crooked Hillary will sell us out just like her husband did with NAFTA,24164,7474,7.54E+17
"Another new poll Thank you for your support Join the MOVEMENT today 
 ImWithYou ",23723,9012,7.54E+17
"Great new poll thank you America
 Trump2016  ImWithYoupictwittercomaVH9c5QRwc",23586,7518,7.54E+17
I will be making the announcement of my Vice Presidential pick on Friday at 11am in Manhattan Details to follow,45244,16190,7.53E+17
If I win the Presidency we will swamp Justice Ginsburg with real judges and real legal opinions,26561,8147,7.53E+17
Even the  and  Editorial Boards condemned Justice Ginsburg for her ethical and legal breach What was she thinking,18133,5449,7.53E+17
Is Supreme Court Justice Ruth Bader Ginsburg going to apologize to me for her misconduct Big mistake by an incompetent judge,21219,5704,7.53E+17
On my way to San Diego to raise money for the Republican Party I am spending a lot myself and also helping others,17036,4096,7.53E+17
Voters understand that Crooked Hillarys negative ads are not true just like her email lies and her other fraudulent activity,24820,8077,7.53E+17
Despite spending  a day on TV ads alone  CrookedHillary falls flat in nationwide  Having ZERO impact Sad,16004,4997,7.53E+17
Lyin Crooked Hillarys email stories all have one thing in commonpictwittercomteoVCYXKOR,18676,7770,7.53E+17
Is President Obama trying to destroy Israel with all his bad moves Think about it and let me know,15001,4430,7.53E+17
"The Republican platform is most 
proIsrael of all time",15128,4473,7.53E+17
New GOP platform now includes language that supports the border wall We will build the wall and MAKE AMERICA SAFE AGAIN,18226,6007,7.53E+17
 CrookedHillary is outspending me by a combined 31 to 1 in Florida Ohio  Pennsylvania I havent started yetpictwittercomBcoPrwqFMe,21747,8054,7.53E+17
Thank you Florida Ohio and Pennsylvania  CrookedHillary is not qualified  ImWithYoupictwittercomM1yzgyeEdY,29858,11545,7.53E+17
Thank you  ImWithYoupictwittercom6XkUQ0W4QS,19173,6458,7.53E+17
Justice Ginsburg of the US Supreme Court has embarrassed all by making very dumb political statements about me Her mind is shot  resign,35229,11485,7.53E+17
THANK YOU INDIANA  Trump2016pictwittercomJmkah9wGaA,19467,5653,7.53E+17
"Thank you Iowa see you soon
 Trump2016  ImWithYou
",16647,5660,7.53E+17
I will be interviewed by  tonight on  at 8pm Enjoy,11452,2877,7.53E+17
The American people agree No free pass for  CrookedHillarypictwittercomlTjLVKkzh1,24456,11042,7.53E+17
To all the Bernie voters who want to stop bad trade deals  global special interests we welcome you with open arms People first,36466,14069,7.53E+17
Bernie sanders has abandoned his supporters by endorsing prowar proTPP proWall Street Crooked Hillary Clinton,31107,13191,7.53E+17
Bernie Sanders endorsing Crooked Hillary Clinton is like Occupy Wall Street endorsing Goldman Sachs,53521,36979,7.53E+17
 CrookedHillary is not qualified237042dfab632da48f53daef …,24040,12970,7.53E+17
I am somewhat surprised that Bernie Sanders was not true to himself and his supporters They are not happy that he is selling out,38187,13749,7.53E+17
Bernie Sanders who has lost most of his leverage has totally sold out to Crooked Hillary Clinton He will endorse her today  fans angry,31047,10862,7.53E+17
This election is a choice between law order  safety  or chaos crime  violence I will make America safe again for everyone  ImWithYou,30269,11115,7.53E+17
For too many years our inner cities have been left behind I am going to deliver jobs safety and protection for those in need,21099,6771,7.53E+17
Crime is out of control and rapidly getting worse Look what is going on in Chicago and our inner cities Not good,21175,6397,7.53E+17
" MakeAmericaGreatAgain  ImWithYou
",15277,5391,7.53E+17
Senior United States District Judge Robert E Payne today ruled in favor of Trump campaign delegates who had argued …,14208,5256,7.53E+17
"Speech on Veterans Reform
 …",9668,3431,7.53E+17
